 ,ring_area,synapse_number,mean_synapse_area,mean_synapse_intensity,ring_depth
1,105.643,14,0.146,35.150,293.218
2,127.667,17,0.112,25.298,262.582
3,93.373,15,0.108,25.922,160.333
4,83.159,12,0.107,30.642,277.177
5,138.163,21,0.130,29.573,243.458
6,122.015,17,0.187,23.145,226.032
7,136.764,15,0.110,26.463,195.827
8,97.015,15,0.165,15.251,172.242
9,81.131,12,0.119,19.641,405.151
10,115.481,16,0.118,23.172,374.293
11,127.404,14,0.110,20.605,355.145
12,81.807,13,0.110,21.741,341.498
13,102.226,13,0.103,24.875,325.835
14,105.014,8,0.181,18.400,553.950
15,87.440,6,0.122,21.449,508.912
16,148.527,18,0.105,19.902,471.920
17,91.486,3,0.175,17.161,522.746
18,118.758,11,0.183,14.139,495.622
19,84.201,9,0.115,21.100,450.807
20,107.577,10,0.098,23.543,138.164
21,86.623,9,0.121,19.101,95.648
22,112.524,17,0.127,21.541,321.470
23,115.416,22,0.130,21.510,419.044
24,120.588,24,0.158,16.876,375.599
25,86.379,5,0.107,22.018,7.268
26,93.852,24,0.151,18.667,223.368
27,131.216,32,0.133,23.727,355.336
28,91.223,5,0.124,15.493,20.565
29,123.658,25,0.152,16.778,396.277
30,118.946,26,0.159,20.153,432.583
31,104.319,19,0.199,17.516,197.728
32,112.336,17,0.129,27.100,314.554
33,190.069,28,0.125,20.429,166.217
34,117.566,19,0.109,19.776,118.705
35,113.623,23,0.127,21.115,100.705
36,96.067,18,0.152,18.849,296.218
37,100.996,18,0.118,20.762,334.602
38,128.953,28,0.149,15.722,496.972
39,132.239,27,0.115,20.829,463.109
40,84.736,13,0.096,27.321,91.044
41,110.628,24,0.144,24.723,216.153
42,128.540,19,0.115,20.913,107.537
43,105.784,3,0.122,22.077,9.258
44,115.979,17,0.149,20.144,359.217
45,214.215,32,0.099,23.040,506.178
46,102.301,20,0.141,16.190,485.119
47,94.650,24,0.125,22.128,342.254
48,90.209,13,0.114,30.159,262.544
49,93.636,12,0.137,25.714,253.368
50,91.289,10,0.197,18.186,224.123
51,104.037,18,0.175,19.212,241.008
52,113.773,13,0.135,21.083,432.137
53,117.828,22,0.117,17.688,411.883
54,121.030,8,0.182,16.158,528.630
55,99.991,8,0.115,17.376,9.534
56,103.089,26,0.169,23.946,275.997
57,105.793,20,0.107,22.250,113.680
58,88.613,15,0.172,16.289,433.304
59,127.451,29,0.139,24.361,390.493
60,91.298,20,0.115,25.540,313.542
61,101.493,6,0.110,17.282,8.836
62,99.372,34,0.123,23.421,297.895
63,92.669,28,0.124,20.487,196.511
64,116.092,17,0.107,22.690,103.784
65,113.519,19,0.166,24.135,240.481
66,124.644,21,0.136,21.162,474.877
67,187.731,40,0.168,19.626,376.997
68,118.054,20,0.135,23.037,494.622
69,84.257,19,0.145,18.685,524.938
70,86.548,8,0.106,15.611,8.770
71,118.260,17,0.138,19.815,442.551
72,123.640,36,0.146,19.963,213.844
73,156.742,24,0.144,15.226,111.298
74,106.891,21,0.171,20.311,340.010
75,105.051,18,0.139,20.033,418.548
76,79.910,8,0.124,17.755,149.954
77,135.356,17,0.192,15.693,166.733
78,124.813,27,0.118,18.777,502.953
79,89.195,28,0.132,26.362,295.102
80,109.914,20,0.167,18.673,236.408
81,106.018,31,0.101,27.193,211.781
82,103.005,11,0.093,23.627,90.571
83,86.566,17,0.121,23.368,347.311
84,116.308,24,0.112,26.181,484.993
85,110.975,26,0.154,22.845,198.377
86,179.367,37,0.119,24.236,362.610
87,82.764,13,0.176,20.016,277.663
88,105.427,19,0.160,17.766,549.710
89,136.266,19,0.147,15.871,114.256
90,128.399,28,0.125,24.113,223.475
91,207.315,19,0.124,15.553,8.185
92,99.315,22,0.144,22.268,538.374
93,125.123,38,0.143,27.511,326.704
94,140.087,29,0.166,23.332,305.088
95,89.937,21,0.115,25.860,348.644
96,108.619,10,0.123,17.629,147.543
97,202.151,44,0.133,23.780,449.654
98,161.022,51,0.138,22.268,481.637
99,129.038,20,0.186,15.978,415.110
100,114.402,16,0.114,22.713,177.224
101,129.629,33,0.118,21.282,521.483
102,85.177,14,0.106,23.712,91.458
103,100.864,24,0.142,22.894,269.029
104,107.267,36,0.118,27.573,281.840
105,101.540,10,0.102,20.358,106.779
106,95.466,5,0.126,13.522,65.547
107,97.616,21,0.165,21.299,237.044
108,101.747,9,0.095,20.750,123.517
109,85.562,17,0.121,16.937,19.893
110,86.031,26,0.125,28.480,323.069
111,123.996,24,0.124,22.188,404.636
112,117.059,12,0.124,22.318,94.299
113,115.744,15,0.240,13.329,151.755
114,116.495,24,0.104,25.466,190.671
115,87.543,21,0.103,27.654,178.850
116,143.842,28,0.112,23.517,169.356
117,90.913,15,0.146,16.292,368.976
118,108.178,26,0.133,23.154,227.155
119,114.411,26,0.120,24.135,530.447
120,123.151,30,0.115,25.896,308.122
121,99.982,26,0.116,25.692,324.170
122,117.481,16,0.126,19.365,117.351
123,107.051,11,0.162,16.537,547.202
124,113.904,16,0.133,22.383,356.345
125,106.384,10,0.136,21.107,386.990
126,113.857,24,0.121,23.560,193.588
127,116.477,33,0.184,19.703,472.667
128,95.100,26,0.127,25.609,245.232
129,105.446,16,0.110,18.536,86.163
130,89.777,15,0.139,16.906,518.440
131,108.046,28,0.116,25.858,223.501
132,94.086,29,0.131,25.005,334.522
133,123.668,23,0.150,24.008,485.520
134,115.087,32,0.107,26.649,306.751
135,108.656,22,0.108,33.989,230.704
136,129.441,26,0.146,19.663,398.454
137,118.683,16,0.143,22.079,137.596
138,141.749,30,0.118,20.620,441.462
139,114.477,26,0.143,19.123,258.176
140,100.432,20,0.120,28.878,361.957
141,123.574,29,0.131,27.217,465.551
142,97.954,20,0.121,31.536,325.895
143,132.305,14,0.138,13.780,97.062
144,86.172,11,0.120,18.617,384.693
145,109.849,23,0.107,21.523,289.527
146,88.510,20,0.121,24.101,478.001
147,91.251,25,0.130,30.958,330.531
148,111.463,16,0.177,15.109,134.864
149,142.162,17,0.150,19.960,275.180
150,109.154,19,0.111,19.172,122.894
151,100.780,22,0.116,22.752,354.397
152,125.996,22,0.111,33.304,199.404
153,104.835,14,0.199,13.052,104.216
154,92.969,4,0.106,16.191,52.657
155,129.526,19,0.150,15.784,502.765
156,150.161,29,0.115,26.720,464.480
157,128.812,10,0.109,19.847,385.681
158,116.045,30,0.116,25.692,364.287
159,103.061,29,0.128,20.938,339.979
160,106.938,27,0.120,26.757,287.852
161,95.861,11,0.124,15.719,534.263
162,102.273,12,0.103,21.425,32.590
163,104.882,22,0.123,20.979,179.763
