 ,ring_area,synapse_number,mean_synapse_area,mean_synapse_intensity,ring_depth,number_of_empty_rings
1,0.094,0,0.000,6.369,327.603,1
2,100.357,11,0.177,29.014,276.764,0
3,121.753,19,0.110,32.870,242.125,0
4,130.831,13,0.121,30.738,195.904,0
5,108.412,11,0.166,18.670,177.547,0
6,148.743,25,0.158,23.435,215.812,0
7,114.430,25,0.107,54.914,335.263,0
8,96.189,14,0.182,30.978,424.977,0
9,116.176,18,0.195,30.259,386.247,0
10,154.160,41,0.124,41.292,315.358,0
11,170.063,33,0.106,36.551,359.547,0
12,108.900,13,0.118,22.140,460.448,0
13,108.225,25,0.132,25.656,434.831,0
14,93.241,11,0.113,32.507,288.116,0
15,113.745,31,0.122,27.022,253.596,0
16,116.458,32,0.120,45.948,341.168,0
17,106.572,19,0.145,30.915,175.150,0
18,102.695,30,0.155,31.821,418.498,0
19,121.612,28,0.135,27.586,265.622,0
20,108.872,24,0.143,24.032,98.132,0
21,127.310,27,0.119,26.458,228.481,0
22,116.880,24,0.106,26.173,144.339,0
23,148.987,28,0.131,20.475,110.707,0
24,119.096,20,0.130,26.858,203.460,0
25,105.530,9,0.118,26.294,475.101,0
26,116.064,40,0.120,44.840,327.560,0
27,127.752,37,0.148,31.880,282.047,0
28,87.759,20,0.129,30.799,402.289,0
29,121.724,4,0.146,17.250,515.519,0
30,86.322,21,0.142,33.859,425.572,0
31,109.867,8,0.153,18.762,465.398,0
32,100.010,23,0.127,30.975,88.002,0
33,102.169,51,0.145,40.236,416.712,0
34,149.419,36,0.155,37.046,322.164,0
35,124.550,30,0.161,24.430,398.587,0
36,98.761,11,0.115,27.780,447.259,0
37,83.891,21,0.133,24.289,209.188,0
38,134.276,15,0.147,22.645,177.030,0
39,84.060,36,0.152,38.182,201.393,0
40,131.835,21,0.139,28.339,331.989,0
41,123.818,31,0.111,37.541,116.544,0
42,103.587,23,0.108,31.781,356.468,0
43,111.088,32,0.136,22.738,152.842,0
44,144.725,25,0.145,33.606,136.813,0
45,103.831,20,0.183,17.321,411.962,0
46,97.719,15,0.119,29.049,484.301,0
47,121.612,32,0.136,28.867,274.560,0
48,118.195,23,0.133,25.582,298.079,0
49,111.238,31,0.151,17.460,232.041,0
50,127.639,14,0.134,27.450,486.733,0
51,80.061,23,0.122,45.551,448.158,0
52,85.778,16,0.121,32.307,380.207,0
53,83.600,16,0.157,22.658,441.087,0
54,104.160,31,0.125,26.190,502.644,0
55,124.569,37,0.109,32.899,215.167,0
56,126.184,1,0.094,64.500,194.876,0
57,106.901,29,0.113,45.269,539.225,0
58,102.460,15,0.175,20.714,364.787,0
59,105.540,24,0.140,36.586,282.718,0
60,100.592,22,0.113,22.223,343.621,0
61,120.833,12,0.102,22.000,162.136,0
62,88.256,6,0.106,20.781,122.754,0
63,83.281,26,0.135,33.546,263.782,0
64,115.378,22,0.203,18.263,325.535,0
65,119.706,23,0.139,28.046,106.565,0
66,118.335,27,0.162,21.004,443.904,0
67,114.505,25,0.147,30.763,488.916,0
68,117.716,31,0.167,26.691,308.878,0
69,125.780,28,0.114,34.545,347.158,0
70,112.900,22,0.163,27.595,457.578,0
71,94.405,30,0.113,29.481,395.880,0
72,126.963,19,0.124,31.539,416.965,0
73,125.076,28,0.137,24.245,246.384,0
74,120.889,4,0.319,11.015,279.464,0
75,103.531,28,0.153,29.057,516.733,0
