 ,ring_area,synapse_number,mean_synapse_area,mean_synapse_intensity,number_of_empty_rings
1,0.103,1,109.333,8.879,244
2,0.103,1,112.656,7.503,0
3,0.094,1,96.471,6.77,0
4,0.122,0,0,7.248,0
5,0.103,1,95.119,8.506,0
6,0.122,1,100.724,6.557,0
7,0.113,1,91.815,8.031,0
8,0.094,1,89.27,8.727,0
9,0.103,1,117.725,6.04,0
10,0.094,1,91.467,6.253,0
11,0.103,1,121.246,8.886,0
12,0.094,0,0,7.698,0
13,0.103,1,104.197,9.042,0
14,0.094,1,90.068,6.063,0
15,0.094,1,123.152,9.707,0
16,0.113,0,0,8.296,0
17,0.094,1,132.324,9.321,0
18,0.113,1,99.353,6.355,0
19,0.094,1,155.925,10.051,0
20,0.103,1,96.049,7.19,0
21,0.207,1,109.905,5.635,0
22,0.094,1,96.724,9.953,0
23,0.113,1,116.298,10.061,0
24,0.103,1,137.318,10.275,0
25,0.31,1,94.903,5.566,0
26,0.103,1,91.871,9.722,0
27,1.474,1,100.254,11.149,0
28,0.131,1,105.981,9.557,0
29,0.094,1,111.858,10.312,0
30,0.094,1,124.363,3.041,0
31,0.376,1,129.395,8.879,0
32,0.103,1,90.998,9.883,0
33,0.178,1,121.725,11.089,0
34,0.094,1,80.464,8.516,0
35,0.986,1,102.01,7.407,0
36,0.094,1,97.025,5.923,0
37,0.094,1,90.19,8.519,0
38,0.094,1,92.491,8.202,0
39,0.094,1,158.319,12.803,0
40,0.094,1,98.414,13.401,0
41,0.094,1,119.115,6.882,0
42,0.113,1,130.587,10.722,0
43,0.094,1,91.233,5.846,0
44,0.094,1,109.671,13.019,0
45,0.094,1,101.663,10.387,0
46,0.113,1,90.406,12.683,0
47,0.094,1,99.588,6.18,0
48,0.094,1,99.165,10.44,0
49,0.225,1,98.518,7.147,0
50,0.131,1,86.708,6.447,0
51,0.094,1,85.393,9.004,0
52,0.122,1,114.233,7.376,0
53,0.103,1,104.723,10.945,0
54,0.188,1,103.371,9.376,0
55,0.131,1,117.453,4.283,0
56,0.113,1,102.273,6.52,0
57,0.094,1,95.635,6.366,0
58,0.131,1,122.213,10.055,0
59,0.15,1,108.422,12.858,0
60,0.225,1,127.395,12.13,0
61,0.094,1,117.05,6.762,0
62,0.103,1,95.391,11.566,0
63,0.094,1,134.84,10.137,0
64,0.113,1,104.301,6.499,0
65,0.094,1,126.024,9.629,0
66,0.094,1,224.955,7.254,0
67,0.094,1,82.774,7.388,0
68,0.094,1,85.562,20.227,0
69,0.094,1,97.654,7.256,0
70,0.46,1,87.872,8.308,0
71,0.103,1,86.341,7.974,0
72,0.094,1,105.54,10.872,0
73,0.094,1,148.631,11.544,0
74,0.216,0,0,5.805,0
75,0.15,1,124.062,13.02,0
76,141.89,1,0.178,18.263,0
77,104.169,3,0.135,23.186,0
78,97.325,2,0.31,16.864,0
79,95.542,12,0.225,22.545,0
80,79.441,12,0.169,24.051,0
81,94.002,7,0.133,21.417,0
82,122.729,5,0.158,27.511,0
83,104.751,14,0.117,27.961,0
84,99.879,13,0.115,27.387,0
85,91.739,5,0.231,18.52,0
86,80.793,1,0.094,41.2,0
87,103.662,11,0.134,28.869,0
88,75.536,7,0.106,33.193,0
89,104.404,17,0.107,35.549,0
90,90.707,7,0.228,29.989,0
91,78.146,2,0.141,32.233,0
92,76.221,1,0.094,22.8,0
93,106.92,13,0.138,30.878,0
94,97.025,17,0.173,30.402,0
95,102.16,18,0.102,32.887,0
96,115.914,25,0.165,25.771,0
97,92.622,1,0.244,34.724,0
98,113.876,5,0.139,28.462,0
99,114.928,15,0.148,28.629,0
100,99.907,2,0.23,25.982,0
101,101.343,28,0.149,31.343,0
102,105.023,8,0.156,28.672,0
103,88.294,28,0.112,40.009,0
104,92.425,20,0.104,37.221,0
105,95.457,1,0.479,14.941,0
106,109.821,20,0.111,25.651,0
107,89.092,1,0.122,30.615,0
108,103.033,2,0.141,13.1,0
109,113.717,11,0.132,26.045,0
110,104.319,6,0.16,21.725,0
111,103.014,0,0,19.667,0
112,74.4,1,0.488,18.981,0
113,107.624,27,0.104,28.487,0
