 ,ring_area,synapse_number,mean_synapse_area,mean_synapse_intensity,,number_of_empty_rings
1,0.094,0,0,7.056,,1
2,144.18,5,0.09,46.157,,0
3,86.36,4,0.101,51.455,,0
4,130.821,6,0.102,59.684,,0
5,92.856,3,0.238,26.975,,0
6,115.744,11,0.108,52.947,,0
7,106.507,4,0.178,26.949,,0
8,135.018,3,0.084,59.444,,0
9,134.736,15,0.148,33.104,,0
10,137.487,12,0.099,56.269,,0
11,122.616,9,0.108,53.962,,0
12,144.931,5,0.105,55.19,,0
13,157.859,12,0.124,45.933,,0
14,108.788,3,0.216,25.29,,0
15,153.324,4,0.103,56.864,,0
16,161.745,6,0.105,54.444,,0
17,147.025,8,0.106,56.911,,0
18,96.921,10,0.171,40.177,,0
19,119.772,12,0.141,48.53,,0
20,111.482,6,0.095,55.098,,0
21,155.371,8,0.1,36.225,,0
22,125.893,7,0.095,57.819,,0
23,127.695,12,0.15,47.297,,0
24,102.263,10,0.111,51.066,,0
25,148.011,11,0.147,36.308,,0
26,100.583,13,0.116,44.287,,0
27,102.319,6,0.119,42.225,,0
28,118.241,8,0.089,36.744,,0
29,127.357,7,0.094,51.314,,0
30,92.087,4,0.129,55.306,,0
31,91.016,9,0.149,44.859,,0
32,115.754,15,0.19,42.597,,0
33,115.838,7,0.152,33.402,,0
34,108.75,6,0.099,38.54,,0
35,99.156,7,0.095,74.539,,0
36,103.531,12,0.113,40.782,,0
37,110.506,8,0.111,43.58,,0
38,105.943,3,0.169,25.934,,0
39,116.711,8,0.097,33.819,,0
40,83.187,5,0.092,51.673,,0
41,100.226,7,0.084,44.871,,0
42,123.949,14,0.188,50.948,,0
43,101.137,7,0.129,29.375,,0
44,118.852,13,0.118,45.285,,0
45,118.213,5,0.09,53.49,,0
46,98.837,4,0.096,52.5,,0
47,119.086,4,0.146,28.016,,0
48,86.726,4,0.094,47.725,,0
49,114.824,15,0.166,33.629,,0
50,103.502,13,0.143,34.399,,0
51,123.921,6,0.377,31.29,,0
52,82.708,8,0.099,32.747,,0
53,105.699,8,0.107,36.484,,0
54,109.248,8,0.146,36.44,,0
55,93.016,11,0.112,48.244,,0
56,141.58,8,0.102,51.359,,0
57,108.037,4,0.108,54.587,,0
58,103.08,9,0.189,36.33,,0
59,99.259,9,0.118,54.027,,0
60,130.014,10,0.114,45.97,,0
61,109.586,4,0.092,26.744,,0
62,92.246,14,0.141,38.014,,0
63,150.94,1,0.094,51.2,,0
64,122.372,10,0.243,42.811,,0
65,158.422,13,0.099,46.482,,0
66,82.727,3,0.091,46.69,,0
67,89.158,3,0.113,31.762,,0
68,133.366,17,0.175,38.283,,0
69,119.19,5,0.107,37.429,,0
70,102.263,11,0.108,31.45,,0
71,146.969,9,0.112,44.725,,0
72,107.83,6,0.083,47.226,,0
73,113.848,11,0.102,39.361,,0
74,146.152,8,0.099,36.875,,0
75,81.093,5,0.09,39.604,,0
76,98.076,5,0.124,46.103,,0
77,89.195,4,0.096,49.634,,0
78,91.082,5,0.146,60.232,,0
79,90.359,7,0.134,36.21,,0
80,97.56,7,0.106,46.857,,0
81,93.166,8,0.114,40.959,,0
82,105.192,8,0.102,74.567,,0
83,122.382,12,0.212,31.31,,0
84,81.863,7,0.107,37.638,,0
85,96.03,3,0.097,48.355,,0
86,125.902,10,0.094,42.811,,0
87,147.917,8,0.119,40.733,,0
88,99.39,4,0.096,68.22,,0
89,112.75,7,0.11,42.011,,0
90,86.163,16,0.147,38.276,,0
91,97.231,8,0.1,54.494,,0
92,124.71,10,0.25,38.622,,0
93,119.537,9,0.097,39.968,,0
94,116.289,7,0.103,68.481,,0
95,105.342,5,0.122,42.37,,0
96,81.75,4,0.089,32.105,,0
97,85.75,14,0.189,37.048,,0
98,136.295,5,0.265,32.02,,0
99,122.86,6,0.108,41.855,,0
100,83.9,10,0.104,47.341,,0
101,96.039,10,0.09,50.375,,0
102,122.034,12,0.123,45.214,,0
103,117.181,6,0.103,43.162,,0
104,105.314,11,0.106,47.053,,0
105,108.581,8,0.126,40.574,,0
106,99.484,8,0.109,45.948,,0
107,93.936,5,0.088,44.059,,0
108,84.332,15,0.1,55.006,,0
109,113.003,14,0.155,46.034,,0
110,118.824,4,0.11,38.451,,0
111,120.926,10,0.17,40.114,,0
112,104.375,11,0.124,37.186,,0
113,115.359,19,0.133,43.458,,0
114,149.043,10,0.185,32.181,,0
115,112.102,9,0.101,56.959,,0
116,115.801,11,0.096,66.911,,0
117,136.501,16,0.11,56.651,,0
118,85.064,15,0.115,42.799,,0
119,106.563,7,0.129,35.5,,0
120,97.766,5,0.1,28.273,,0
121,100.752,9,0.096,49.029,,0
122,136.163,10,0.144,36.59,,0
123,112.665,8,0.089,40.873,,0
124,104.3,9,0.096,65.17,,0
125,102.395,11,0.112,51.199,,0
126,117.04,10,0.103,61.673,,0
127,99.494,11,0.133,38.099,,0
128,107.943,8,0.097,43.024,,0
129,97.719,8,0.1,66.744,,0
130,107.736,11,0.117,44.679,,0
131,113.2,18,0.115,45.491,,0
132,137.158,17,0.116,54.512,,0
133,137.064,6,0.094,49.589,,0
134,113.247,4,0.099,66.244,,0
135,135.431,14,0.126,45.937,,0
136,137.102,7,0.188,33.953,,0
137,115.528,8,0.097,62.302,,0
138,80.624,8,0.147,50.516,,0
139,91.861,20,0.108,45.235,,0
140,140.932,16,0.094,64.089,,0
141,89.918,13,0.095,60.148,,0
142,109.999,8,0.097,44.718,,0
143,130.483,15,0.137,34.677,,0
144,129.47,11,0.111,73.275,,0
145,148.349,7,0.196,29.678,,0
146,123.198,6,0.106,37.947,,0
147,144.894,8,0.165,34.929,,0
148,91.354,11,0.105,57.209,,0
149,112.815,7,0.095,50.987,,0
150,103.474,3,0.156,34.96,,0
151,82.501,11,0.194,31.58,,0
152,118.955,16,0.115,37.91,,0
153,130.493,5,0.1,50.703,,0
154,93.767,10,0.116,53.718,,0
155,140.866,5,0.148,40.376,,0
156,109.389,3,0.1,75.364,,0
157,91.561,5,0.244,45.085,,0
158,110.928,8,0.134,40.605,,0
159,110.712,9,0.125,49.742,,0
160,105.258,11,0.099,52.444,,0
161,108.44,8,0.108,49.667,,0
162,107.37,5,0.096,63.333,,0
163,114.693,8,0.183,31.636,,0
164,100.292,4,0.164,31.466,,0
165,114.355,9,0.161,36.067,,0
166,104.967,5,0.098,47.855,,0
167,94.828,8,0.117,40.515,,0
168,126.841,19,0.098,64.951,,0
169,123.949,5,0.115,41.281,,0
170,114.796,2,0.099,30.182,,0
171,105.502,15,0.115,47.848,,0
172,101.991,4,0.127,39.695,,0
173,115.923,13,0.12,33.826,,0
174,108.778,12,0.133,39.091,,0
175,154.526,5,0.107,47.351,,0
176,105.887,21,0.128,49.939,,0
177,127.808,3,0.091,36.265,,0
178,108.403,3,0.147,80.915,,0
179,134.802,9,0.131,42.109,,0
180,90.284,5,0.094,54.38,,0
181,112.468,7,0.223,31.107,,0
182,109.774,15,0.086,51.652,,0
183,163.125,8,0.088,55.75,,0
184,105.99,5,0.248,30.714,,0
185,85.787,4,0.138,40.779,,0
186,98.574,16,0.114,48.294,,0
187,128.033,27,0.166,44.603,,0
188,125.977,2,0.103,28.677,,0
189,108.947,8,0.115,37.855,,0
190,108.854,3,0.094,65.067,,0
191,75.77,8,0.178,27.314,,0
192,107.642,3,0.1,45.921,,0
193,111.998,9,0.122,39.048,,0
194,102.348,10,0.097,57.402,,0
195,106.713,3,0.128,26.659,,0
196,90.068,13,0.137,37.706,,0
197,113.379,15,0.103,46.817,,0
198,127.31,12,0.122,44.586,,0
199,127.066,12,0.149,51.552,,0
200,132.614,8,0.344,29.087,,0
201,99.25,6,0.222,33.159,,0
202,122.269,8,0.211,34.591,,0
203,110.102,10,0.121,48.652,,0
204,114.89,8,0.108,34.343,,0
205,121.433,10,0.126,35.784,,0
206,101.634,7,0.106,40.413,,0
207,91.392,11,0.107,30.371,,0
208,119.884,8,0.129,43.696,,0
209,106.657,6,0.102,38.543,,0
210,92.95,6,0.097,58.474,,0
211,106.582,6,0.094,46.883,,0
212,81.995,11,0.178,30.158,,0
213,96.856,8,0.122,63.028,,0
214,111.266,6,0.106,33.901,,0
215,117.152,13,0.113,39.555,,0
216,130.136,22,0.129,57.388,,0
217,140.698,7,0.223,38.304,,0
218,95.945,6,0.089,40.825,,0
219,107.896,8,0.124,33.374,,0
220,143.786,11,0.106,50.552,,0
221,118.007,16,0.145,40.972,,0
222,129.807,4,0.096,39.927,,0
223,92.162,20,0.137,45.844,,0
224,125.639,4,0.117,75.121,,0
225,83.309,5,0.141,33.859,,0
226,86.463,6,0.142,33.714,,0
227,92.462,22,0.103,58.362,,0
228,143.167,13,0.096,43.124,,0
229,102.488,6,0.111,37.183,,0
230,109.295,9,0.131,48.276,,0
231,115.547,16,0.099,55.459,,0
232,122.598,11,0.091,58.743,,0
233,117.425,6,0.095,50.5,,0
234,123.245,14,0.13,69.386,,0
235,130.934,3,0.113,46.944,,0
236,83.759,9,0.135,32.985,,0
237,127.864,6,0.185,32.455,,0
238,104.807,9,0.197,30.778,,0
239,107.68,9,0.221,34.415,,0
240,102.826,5,0.107,55.842,,0
241,93.626,20,0.17,51.391,,0
242,146.631,9,0.089,64.574,,0
243,109.201,10,0.104,39.939,,0
244,114.214,9,0.107,39.136,,0
245,103.812,11,0.124,40.531,,0
246,115.219,4,0.094,40.698,,0
247,130.709,12,0.142,43.747,,0
248,110.431,7,0.129,47.917,,0
249,98.555,5,0.101,42.167,,0
250,99.897,7,0.122,49.5,,0
251,135.102,23,0.113,59.068,,0
252,139.975,6,0.106,38.934,,0
253,113.782,9,0.11,45.718,,0
254,112.937,11,0.096,55.36,,0
255,130.53,11,0.104,42.71,,0
256,116.242,15,0.131,48.821,,0
257,116.505,20,0.099,75.647,,0
258,87.918,3,0.078,33.44,,0
259,115.087,10,0.129,43.207,,0
260,103.39,7,0.097,51.722,,0
261,108.384,9,0.107,40.757,,0
