 ,ring_area,synapse_number,mean_synapse_area,mean_synapse_intensity
1,77.902,2,0.084,89.833
2,140.792,4,0.108,61.189
3,115.087,7,0.105,42.407
4,96.687,5,0.1,45.722
5,79.103,3,0.081,65.714
6,94.753,3,0.188,24.383
7,135.628,9,0.095,62.28
8,188.323,10,0.127,42.399
9,99.86,8,0.248,26.878
10,168.242,10,0.175,31.51
11,81.028,4,0.246,28.675
12,113.585,1,0.3,28.744
13,102.723,2,0.141,23.647
14,206.517,12,0.181,40.358
15,109.295,10,0.13,58.623
16,219.322,16,0.152,41.901
17,181.301,12,0.132,34.412
18,126.259,14,0.119,56.865
19,92.444,6,0.092,29.159
20,102.263,12,0.126,30.958
21,94.978,8,0.099,61.81
22,90.772,8,0.297,23.279
23,105.333,8,0.093,55.744
24,127.686,6,0.094,63.929
25,129.338,12,0.145,35.128
26,90.275,8,0.122,54.808
27,96.067,3,0.207,26.803
28,103.033,5,0.152,36.849
29,92.96,10,0.103,43.115
30,101.409,4,0.246,35.407
31,100.292,7,0.138,54.57
32,99.184,5,0.094,32.741
33,110.816,12,0.142,35.93
34,87.609,12,0.101,48.814
35,103.869,9,0.091,39.667
36,91.636,6,0.103,49.949
37,122.288,12,0.156,56.158
38,105.108,9,0.094,39.933
39,116.655,8,0.178,27.445
40,132.596,13,0.126,45.902
41,107.089,4,0.101,42.558
42,92.697,5,0.165,30
43,90.134,16,0.122,47.241
44,130.887,9,0.115,38.176
45,94.443,7,0.097,41.948
46,157.699,15,0.128,42.139
47,113.05,9,0.129,33.552
48,106.263,4,0.432,21.414
49,81.976,6,0.13,35.053
50,88.332,6,0.099,56.448
51,112.262,7,0.099,58.37
52,91.477,10,0.104,41.739
53,112.759,17,0.116,56.757
54,101.306,3,0.094,39.8
55,103.381,10,0.102,63.779
56,109.971,5,0.086,43.771
57,121.828,12,0.095,50.837
58,104.357,5,0.098,39.089
59,86.905,10,0.17,39.907
60,91.777,4,0.101,39.562
61,104.761,9,0.097,41.337
62,86.923,16,0.118,36.829
63,106.892,14,0.147,32.947
64,103.765,1,0.094,38.182
65,95.307,7,0.169,48.679
66,94.406,8,0.095,37.418
67,99.24,10,0.122,46.346
68,155.428,9,0.111,38.429
69,124.419,13,0.096,46.326
70,105.343,9,0.098,79.052
71,102.404,12,0.104,38.165
72,125.94,3,0.081,35.321
73,119.228,10,0.112,46.496
74,121.875,17,0.108,52.015
75,84.595,8,0.283,26.266
76,108.807,6,0.103,52.357
77,104.038,15,0.104,57.112
78,90.331,11,0.125,39.353
79,140.247,19,0.12,37.439
80,121.837,13,0.166,35.34
81,88.717,18,0.117,45.381
82,116.345,13,0.096,59.444
83,99.869,6,0.105,29.761
84,102.085,14,0.105,42.449
85,104.901,11,0.128,46.987
86,88.717,9,0.123,37.09
87,92.284,16,0.104,55.94
88,110.788,4,0.092,39.244
89,86.97,7,0.114,34.353
90,90.463,7,0.122,32.587
91,90.988,2,0.084,31.222
92,106.798,10,0.094,35.602
93,92.397,2,0.113,31
94,109.746,10,0.121,39.232
95,105.643,14,0.098,56.594
96,87.806,9,0.126,44.116
97,112.618,10,0.113,33.696
98,89.796,7,0.109,45.651
99,130.643,10,0.204,34.668
100,125.32,14,0.129,33.467
101,116.383,9,0.108,47.762
102,90.162,4,0.099,30.261
103,110.065,3,0.091,61.552
104,125.959,10,0.111,41.218
105,118.871,8,0.137,43.24
106,115.838,10,0.108,48.308
107,93.683,10,0.121,36.909
108,123.217,18,0.118,47.417
109,90.097,8,0.101,47.444
110,115.782,16,0.154,34.869
111,102.461,7,0.103,62.531
112,100.01,9,0.102,45.527
113,123.264,10,0.125,51.927
114,121.471,14,0.113,46.523
115,117.031,16,0.101,44.677
116,105.887,13,0.091,46.111
117,136.792,8,0.095,34.741
118,120.561,24,0.143,47.589
119,82.032,7,0.161,44.484
120,100.94,7,0.194,39.49
121,98.959,13,0.149,44.55
122,93.373,8,0.1,64.515
123,107.999,13,0.141,53.714
124,116.449,13,0.103,54.768
125,79.291,4,0.136,37.985
126,115.369,19,0.119,55.653
127,93.983,2,0.099,147.321
128,105.512,8,0.113,41.97
129,122.063,17,0.125,50.197
130,105.155,9,0.094,34.033
131,126.156,11,0.213,34.709
132,97.795,16,0.11,49.615
133,78.915,11,0.102,46.331
134,130.559,13,0.102,66.115
135,133.892,9,0.17,42.976
136,101.184,7,0.095,39.479
137,122.279,10,0.095,35.346
138,109.276,23,0.108,42.697
139,141.862,22,0.126,49.643
140,100.085,6,0.102,38.6
141,103.859,9,0.094,49
142,91.965,10,0.107,33.886
143,88.144,9,0.102,41.852
144,124.053,15,0.124,36.25
145,86.989,3,0.094,101.065
146,126.757,17,0.114,48.115
147,106.723,17,0.107,39.337
148,105.69,8,0.121,39.589
149,132.127,12,0.107,43.219
150,102.526,5,0.1,25.983
151,98.921,12,0.138,45.717
152,124.137,15,0.104,54.096
153,88.125,10,0.121,31.806
154,97.062,8,0.173,38.795
155,116.608,16,0.105,59.565
156,106.854,19,0.147,36.783
157,96.462,15,0.105,46.688
158,109.126,7,0.122,53
159,84.36,5,0.167,33.079
160,113.107,13,0.103,70.893
161,75.479,9,0.087,81.217
162,115.163,22,0.125,46.272
163,102.104,18,0.117,48.496
164,96.537,7,0.113,41.184
165,127.433,13,0.148,33.756
166,113.538,8,0.081,50.708
167,89.036,3,0.15,34.685
168,101.212,11,0.115,36.427
169,97.992,20,0.118,47.336
170,78.127,8,0.117,47.196
171,96.969,11,0.121,48.599
172,103.54,22,0.125,53.272
173,114.871,7,0.094,58.597
174,102.667,13,0.113,44.761
175,83.788,9,0.134,55.25
176,90.913,15,0.108,76.743
177,88.857,13,0.14,52.791
178,119.622,11,0.159,35.394
179,106.169,13,0.134,41.172
180,117.35,13,0.133,38.84
181,112.468,17,0.121,42.717
182,119.03,15,0.108,38.545
183,103.202,8,0.101,40.828
184,93.382,13,0.144,37.286
185,90.435,5,0.156,25.18
186,89.299,18,0.149,43.351
187,94.406,12,0.097,51.096
188,109.952,17,0.097,43.592
189,141.158,21,0.113,55.474
190,136.783,18,0.135,38.061
191,81.995,6,0.106,51.944
192,98.095,16,0.102,50.298
193,121.302,10,0.113,57.736
194,78.728,7,0.099,45.56
195,87.609,9,0.106,35.725
196,102.094,9,0.098,51.386
197,114.58,7,0.125,42.839
198,125.039,9,0.104,43.467
199,114.383,10,0.149,31.22
200,117.078,22,0.145,32.989
201,88.782,9,0.103,40
202,91.448,13,0.127,41.679
203,95.87,18,0.125,46.988
204,101.878,16,0.145,37.93
205,126.334,14,0.146,29.258
206,138.604,14,0.141,38.553
207,114.787,18,0.119,46.816
208,106.732,16,0.154,40.215
209,106.479,11,0.103,41.713
210,145.908,12,0.138,43.297
211,112.355,14,0.103,60.442
212,145.42,19,0.13,40.401
213,95.025,12,0.127,49.084
214,82.699,12,0.104,39.91
215,100.32,13,0.1,43.657
216,105.455,14,0.135,40.578
217,87.524,13,0.122,48.331
218,90.613,6,0.152,26.193
219,110.825,11,0.099,46.7
220,127.996,14,0.095,61.88
221,101.991,3,0.097,38.97
222,121.302,12,0.111,47.02
223,96.358,4,0.099,58.667
224,105.709,5,0.175,28.919
225,118.514,11,0.143,38.844
226,96.161,23,0.116,67.67
227,84.501,5,0.122,54.138
228,126.832,23,0.109,51.665
229,100.339,24,0.117,55.484
230,99.372,22,0.116,73.028
